text,intent,is_anomaly,anomaly_score,anomaly_type,text_expanded,expansion_terms
o que esperar hoje para Touro?,horoscopo_hoje,False,0.5906,normal,o que esperar hoje para Touro?,[]
o que esperar hoje para Leão?,horoscopo_hoje,False,0.5879,normal,o que esperar hoje para Leão?,[]
o que esperar hoje para Virgem?,horoscopo_hoje,False,0.5883,normal,o que esperar hoje para Virgem?,[]
horóscopo do dia de Áries,horoscopo_hoje,False,0.5866,normal,horóscopo do dia de Áries,[]
horóscopo do dia de Touro,horoscopo_hoje,False,0.5862,normal,horóscopo do dia de Touro,[]
horóscopo do dia de Leão,horoscopo_hoje,False,0.5848,normal,horóscopo do dia de Leão,[]
horóscopo do dia de Virgem,horoscopo_hoje,False,0.5852,normal,horóscopo do dia de Virgem,[]
previsão diária de Áries,horoscopo_hoje,False,0.5881,normal,previsão diária de Áries,[]
previsão diária de Touro,horoscopo_hoje,False,0.5881,normal,previsão diária de Touro,[]
previsão diária de Leão,horoscopo_hoje,False,0.5858,normal,previsão diária de Leão,[]
previsão diária de Virgem,horoscopo_hoje,False,0.5861,normal,previsão diária de Virgem,[]
o que é mapa astral?,explicar_mapa_astral,False,0.5865,normal,o que é mapa astral?,[]
explica mapa astral,explicar_mapa_astral,False,0.5862,normal,explica mapa astral,[]
como fazer mapa astral?,explicar_mapa_astral,False,0.5855,normal,como fazer mapa astral? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
mapa astral serve pra quê?,explicar_mapa_astral,True,0.5941,statistical,mapa astral serve pra quê?,[]
o que significa mapa astral?,explicar_mapa_astral,False,0.5872,normal,o que significa mapa astral?,[]
qual a importância do mapa astral?,explicar_mapa_astral,False,0.5902,normal,qual a importância do mapa astral?,[]
me explique sobre mapa astral,explicar_mapa_astral,False,0.5882,normal,me explique sobre mapa astral,[]
quero entender mapa astral,explicar_mapa_astral,False,0.5846,normal,quero entender mapa astral,[]
o que são signos de fogo?,elementos,False,0.5904,normal,o que são signos de fogo?,[]
signos de água quais são?,elementos,False,0.5879,normal,signos de água quais são?,[]
me fala sobre signos de terra,elementos,False,0.5884,normal,me fala sobre signos de terra,[]
quais os signos de ar?,elementos,False,0.5896,normal,quais os signos de ar?,[]
características dos signos de fogo,elementos,False,0.5882,normal,características dos signos de fogo,[]
oi,saudacao,False,0.5777,normal,oi,[]
olá,saudacao,False,0.5794,normal,olá,[]
ola,saudacao,False,0.5769,normal,ola,[]
hey,saudacao,False,0.5775,normal,hey,[]
e aí,saudacao,False,0.5806,normal,e aí,[]
bom dia,saudacao,False,0.5814,normal,bom dia,[]
boa tarde,saudacao,False,0.5837,normal,boa tarde,[]
boa noite,saudacao,False,0.5828,normal,boa noite,[]
tudo bem?,saudacao,False,0.5881,normal,tudo bem?,[]
como vai?,saudacao,False,0.5823,normal,como vai? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
"oi, tudo bem?",saudacao,False,0.5874,normal,"oi, tudo bem?",[]
"olá, como está?",saudacao,False,0.5835,normal,"olá, como está? maneira forma modo","[""maneira"", ""forma"", ""modo""]"
obrigado,agradecimento,False,0.5805,normal,obrigado,[]
obrigada,agradecimento,False,0.5793,normal,obrigada,[]
valeu,agradecimento,False,0.5758,normal,valeu,[]
thanks,agradecimento,False,0.5774,normal,thanks,[]
brigado,agradecimento,False,0.5816,normal,brigado,[]
muito obrigado,agradecimento,False,0.5807,normal,muito obrigado,[]
agradeço,agradecimento,False,0.5783,normal,agradeço,[]
grato,agradecimento,False,0.5785,normal,grato,[]
grata,agradecimento,False,0.5785,normal,grata,[]
